Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15010.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15013.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15011.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15014.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15012.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15015.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_1_15017.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_2_15018.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_3_15019.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_1_15021.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_2_15022.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_3_15023.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_1_15025.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_2_15026.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_3_15027.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_1_15029.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_2_15030.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_3_15031.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_1_15033.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_2_15034.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_3_15035.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_1_15037.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_2_15038.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_3_15039.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_1_15041.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_2_15042.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_3_15043.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_1_15371.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_2_15372.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_3_15373.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15375.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15443.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15376.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15444.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15377.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15445.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15379.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15447.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15380.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15448.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1611.27	1588.9	1748.55	1190.9	1815.51	1692.44	1658.87	1835.48	989.388	1001.05	1053.82		1022.1	3418.15		2368.07	2380.83	2944.2								608.631			1943.23	1791.28										
A0A024RBG1;Q96G61;Q9NZJ9	Q8NFP7;Q96G61;Q9NZJ9;A0A024RBG1	NUD11_HUMAN;NUD4B_HUMAN;NUDT4_HUMAN	NUDT11;NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	6551.28	3767.94	7835.31	4965.94	8256.83	3224.6	9283.33	8562.53	9528.37				5982.83	4752.78	4894.74	4372.05	5790.91	4403.16					1469.11			1816.72		7759.88	6537.02	7762.55										2398.32
A0A024RBG1;Q9NZJ9	Q9NZJ9;A0A024RBG1	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	11775.4	11013	10362.1	10132	11423.2	12582.4	9169.73	9809.83	10318.5	9900.85	9595.4	8878.21	9030.83	9822.91	8389.98	13243.4	11538.9	11945.1				7581.42		9029.43		3689.32	7318.15	8882.78	8825.09	9921.92		9821.79	8535.23			5902.91	3005.52	6681.31	5881.35	8355.48
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	5432.02	5400.61	5258.58	5361.78	4764.49	4570.21	4029.11	4230.24	4209.08	2997.15	5203.77	2704.88	3870.18	3251.16	3488.04	4296.8	3936.81	4334.78	21387	14551.3	23879.9				2179.1			5723.46	4977.21	3690.44										
A0A0B4J2F2;P57059	A0A0B4J2F2;P57059	SIK1B_HUMAN;SIK1_HUMAN	SIK1;SIK1B	Putative serine/threonine-protein kinase SIK1B							442.322	1142.01	1237.48		891.319	1052.05	1299.96	1947.23	1720.13	1339.34	2093.69	2207.2										2508.89	2520.59											
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	76129.1	77391.9	74717	78861.8	75354.1	75988.5	73443.2	73223.8	68238.7	69664.1	70224.9	69666.6	73598.9	71618.6	71532.2	92346.4	84678.3	89632.5	26191.9		9710.96	46123.5	34968.4	40320.3	57311.4	51037.1	44053.4	87787.3	85673.6	89110.2	61160.9	54645.6	72167.2	47350.8	41322.2	48283.8	51689.4	55000	53755.3	57390.8
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	3887.93	4171.12	3828.13	4220.03	4148.41	5216.01	4007.32	4442.06	3990.26	4072.65	4458.44	4278.14	3869.99	3967.04	4243.35	3730.16	3327.33	3305.42				8787.79		5868.74	5048.57	6274.06	3238.02	3991.04	3978.44	3612.41		4824.55	3662.46	5204.65			4466.73	4670.96	1754.49	5512.79
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	4082.16	3632.55	4099.7	3045.18	3777.58	4145.77	3403.15	3418.26	3743.05	2908.16	3122.95	2921.1	3081.37	3623.69	3107.93	2860.18	2939.7	2769.23				6566.72	7017.37	6354.23	5271.26	4267.34	5238.05	4077.36	3699.01	4279.9						9961.32	5918.45	3886.3	6734.35	4506.44
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	3308.56	3743.73	3675.03	3532.25	3657.27	4067.37	3682.35	3815.42	3430.68	3520.18	3534.74	3066.03	3734.84	4068.6	4064.89	4262.7	4344.14	4199.27							2675.64	4383.47	6769.64	4049.27	4071.14	3827.19		9520.17				4295.22		1538.91		3079.43
A2RTX5;P26639	A2RTX5;P26639	SYTC2_HUMAN;SYTC_HUMAN	TARS1;TARS3	Threonine--tRNA ligase 2, cytoplasmic	47560.6	56098.4	50848.1	58061.9	54231.4	50247.3	62329.9	58140.9	57261.5	52957.5	59405.8	58610.5	60691.9	58827.5	60322.3	71988	79986.1	84070.6	32614.5	37592.7	20371.7	41002		33128.5	19089.1	21228.2	27325.1	32652.8	35495.2	34592.9	30087.7	7487.46		12305.2	21486	38437.1	15374.4	18131.9	17812	22882.7
